HGNC	Module_Label
C1ORF95	-
RP11-351J23.1	-
TATDN3	-
C1ORF53	-
ECT2L	-
GPR52	-
RP11-296O14.3	-
METTL11B	-
CENPW	-
FANK1	-
LOR	-
PPAPDC1A	-
C6ORF112	-
HIST1H3H	-
SNHG5	-
RP11-451M19.3	-
RIPPLY2	-
GDI1	-
CYP17A1-AS1	-
RP11-261N11.8	-
SAMD13	-
RP11-274K13.2	-
CCDC160	-
EFCAB7	-
LCN8	-
RP11-543D5.3	-
RP11-465L10.10	-
RP11-247A12.2	-
TCEAL5	-
SYS1	-
RP11-535K1.1	-
NEU4	-
TRAF3IP1	-
NAP1L6	-
GIGYF2	-
RUFY2	-
GGTA1P	-
ASAH2B	-
TIMM23B	-
C10ORF128	-
SYT15	-
GDF5OS	-
ZDBF2	-
AC011737.2	-
BMPR2	-
RXRB	-
C17ORF90	-
RP11-713P17.3	-
HLA-DOA	-
AC019178.1	-
BRD2	-
HLA-DMA	-
SPIN3	-
RP11-622K12.1	-
TMEM235	-
AC021593.1	-
BTNL2	-
PBX2	-
AGPAT1	-
FKBPL	-
C17ORF109	-
AC007405.7	-
SP5	-
STK19	-
SKIV2L	-
C9ORF129	-
ZBTB12	-
HSPA1B	-
HSPA1A	-
HSPA1L	-
C6ORF27	-
CASP12	-
MSH5	-
LY6G6E	-
ABHD16A	-
RP11-1E11.1	-
POTEKP	-
C6ORF47	-
FAM155A	-
DGKK	-
MICA	-
HLA-C	-
C6ORF136	-
MRPS18B	-
PPP1R10	-
ABCF1	-
PRR3	-
DDR1	-
HLA-E	-
RP11-638F5.1	-
TRIM10	-
RNF39	-
PPP1R11	-
HLA-J	-
ZNRD1-AS1	-
PTCHD2	-
TBC1D8	-
ZFP57	-
ASPDH	-
MOG	-
OR2H2	-
AKT1S1	-
FAM153C	-
C10ORF114	-
AC012307.3	-
C9ORF135	-
TRIM27	-
CTC-308K20.1	-
RANBP17	-
FAM196B	-
CBWD6	-
CTD-3065J16.6	-
AC104135.3	-
AC091172.1	-
BX664615.1	-
ATXN2	-
TCTN1	-
ZBTB48	-
FAM201A	-
IGFL4	-
RP11-208G20.2	-
MZT1	-
ZNF155	-
C11ORF83	-
AC074391.1	-
CD177	-
ZNF425	-
C12ORF73	-
PCDHGA1	-
AC139712.2	-
AC092384.1	-
RP11-707M1.1	-
AC134312.1	-
SLC35B4	-
SYCE1L	-
TMEM231	-
CCNI2	-
C1ORF70	-
HSP90AA4P	-
COX17P1	-
CTD-2210P24.4	-
C8ORF83	-
RP5-1022P6.6	-
PSMB10	-
UPK3BL	-
E2F4	-
TMEM170B	-
MUC12	-
CTXN3	-
NT5M	-
GOLGA2P1	-
PRR13	-
TECPR1	-
MT1A	-
C15ORF59	-
TMEM188	-
EXOC3L4	-
CCDC85C	-
AC004980.7	-
RP11-116G8.4	-
C2CD4B	-
RGL3	-
CTA-384D8.20	-
SMN2	-
SERF1B	-
POM121B	-
DYNLL1P1	-
HMGN1	-
MUC19	-
FAM116B	-
RP5-1132H15.2	-
RP4-610C12.4	-
RP11-15G8.1	-
LCMT1	-
MFSD2B	-
C22ORF40	-
LIN52	-
RP11-706O15.5	-
RP11-706O15.1	-
ACOT6	-
DPF3	-
ADARB2-AS1	-
CTA-250D10.15	-
LYRM5	-
C17ORF107	-
ITPRIPL2	-
DENND1C	-
CRYZL1	-
RP9P	-
CATSPER2P1	-
AC005594.1	-
CYS1	-
PPAPDC2	-
KLRC2	-
KLRC3	-
TTC23L	-
AC130352.1	-
BHLHA9	-
C21ORF62	-
C21ORF49	-
NYNRIN	-
DOK6	-
ZDHHC11B	-
EGFEM1P	-
RP11-400K9.2	-
P2RX6P	-
GYG2P1	-
HBA1	-
AC023490.1	-
HBM	-
RP11-1084I9.1	-
ATP10A	-
ANKUB1	-
HCP5	-
HLA-H	-
TMEM200C	-
TXNRD3NB	-
LNP1	-
TRIM71	-
ZCWPW2	-
ANKRD28	-
METTL6	-
AC022007.5	-
RP11-58B17.1	-
XKR4	-
U1	-
SNORD58B	-
SNORD56	-
U6	-
Y_RNA	-
SNORD116-2	-
SNORA54	-
SNORD116-1	-
SNORD116-8	-
SNORA18	-
SNORD116-22	-
SNORD116-15	-
SNORA42	-
SNORD116-20	-
SNORD116-16	-
SNORD116-24	-
SNORA8	-
SNORD116-23	-
SNORD15B	-
SNORA7A	-
MIR636	-
MIR570	-
MIR621	-
MIR630	-
MIR639	-
AC009065.2	-
MIR572	-
MIR555	-
MIR600	-
AL132780.1	-
MIR568	-
MIR564	-
MIR638	-
MIR663	-
MIR492	-
SNORD64	-
SNORA48	-
RNU11	-
SNORA40	-
C11ORF31	-
GNRHR2	-
STK38L	-
SACM1L	-
TSN	-
MIR675	-
MIR671	-
MIR718	-
AL354933.1	-
MIR770	-
MIR762	-
IGKC	-
IGLV5-52	-
IGLV1-40	-
TRGC1	-
IGHA1	-
PRR22	-
TAS2R15	-
TAS2R14	-
U1	-
5S_RRNA	-
SNORD89	-
SNORD115-46	-
U6	-
SNORA12	-
SNORD86	-
RP11-134K1.2	-
C17ORF51	-
C17ORF100	-
AL137145.1	-
FAM127C	-
LINC00277	-
RNF208	-
KIAA1383	-
AC010834.1	-
AC117834.1	-
BTF3P12	-
RP11-119F7.2	-
CFL1P4	-
SPHAR	-
RP11-383G10.3	-
AL021068.1	-
FGFR1OP	-
RP11-277B15.1	-
HMGB3P6	-
RPL31P11	-
YR211F11.2	-
CCDC19	-
DARC	-
RP1-44A20.4	-
ZNF254	-
AC104131.1	-
AC092642.1	-
EEF1DP5	-
YWHAZP4	-
ARF1P2	-
CNN2P9	-
RPL7AP60	-
AC090425.1	-
RP3-344J20.2	-
RP11-641D5.1	-
RP11-335F8.2	-
FAM24B	-
AC016732.2	-
AC012066.1	-
GIMAP1	-
C6ORF165	-
AC005229.7	-
NCLP1	-
KIAA1984	-
RP11-355O1.7	-
DNLZ	-
AC093724.2	-
RP11-337C18.4	-
ST13P10	-
EEF1A1P33	-
YWHAZP2	-
SUPT4H1	-
RP11-819M15.1	-
YWHAZP5	-
RP11-212P7.1	-
CTD-2192J16.12	-
ZNF625	-
RP11-642N14.1	-
AP000857.1	-
RP11-164N20.1	-
RP11-331F4.1	-
RPS7P11	-
CLNS1AP1	-
ANKRD39	-
CHUK	-
PCNPP3	-
MXD3	-
CNN2P8	-
FTH1P12	-
AP000593.6	-
GSTM2	-
RANP6	-
GAPDHP71	-
AC104297.1	-
RP11-779O18.2	-
ARHGAP19	-
PTPRCAP	-
CISD1P1	-
RBM22P2	-
CTB-47B8.5	-
GPC2	-
KRT222	-
HSPD1P1	-
RP11-54C4.1	-
ATP6V0CP3	-
H2AFZP1	-
SIPA1	-
AKR1B1P2	-
FTH1P3	-
ERV3-1	-
SYNJ2BP	-
HMGB1P37	-
AC092661.2	-
LAP3P2	-
RP13-39P12.2	-
SETP8	-
TMEM110	-
YBX1P6	-
RP11-486G15.1	-
DNAJC9	-
RP11-386I14.3	-
RP13-383K5.4	-
LDHAP5	-
ZBTB9	-
TMX2	-
RP11-444K7.8	-
RP11-380G5.3	-
RP11-772E11.1	-
ADAT3	-
PPP1CB	-
RP11-760D2.7	-
AC126365.4	-
NCKIPSD	-
RP11-436F9.2	-
AC002056.3	-
LDHBP2	-
TREX1	-
RP11-613D13.2	-
S1PR3	-
RPS7P14	-
RP1-172N19.4	-
C2ORF18	-
RP11-344N10.3	-
PHBP7	-
PIGCP1	-
DDAH2	-
POLD2P1	-
ANAPC10P1	-
AC016629.2	-
RP11-284B18.3	-
CTC-451P13.1	-
CTD-2309M13.1	-
RP11-385J23.1	-
DDX47	-
RP11-449L13.2	-
NHP2P2	-
RP1-257I20.13	-
ZNF816-ZNF321P	-
CFL1P5	-
RP11-3J10.4	-
SUGT1P2	-
AC098614.2	-
VDAC1P2	-
RP11-12M9.4	-
KCTD11	-
AC005062.3	-
YBX1P10	-
TAF9BP1	-
CFL1P7	-
AC005003.1	-
PPM1N	-
LTB4R	-
LTB4R2	-
GS1-256O22.3	-
HBE1	-
HBG1	-
AC092610.12	-
CLDN9	-
RP1-102E24.1	-
DNAJB1P1	-
RPS10P2	-
RP11-280O24.1	-
API5P2	-
NUDT19	-
AC078899.1	-
CARKD	-
TM6SF2	-
MEF2B	-
ATP5F1P3	-
RP6-105D16.1	-
MRPL23	-
RP5-944M2.3	-
FBXO16	-
ARF4P3	-
TSPAN4	-
CPSF1P1	-
GNAQP1	-
CPNE1	-
ARL16	-
AC079776.2	-
LDHAP4	-
RP1-258N20.3	-
MYCBP	-
RP3-412A9.15	-
RP11-420O16.2	-
AC024560.3	-
RP11-488L18.1	-
ALG3	-
AC012487.2	-
XPOTP1	-
UBE2V1P2	-
SH3D21	-
EEF1A1P12	-
C19ORF38	-
IQCJ	-
TUBBP2	-
HNRNPA1P10	-
SNURF	-
LGMNP1	-
AGGF1P1	-
CTD-2228K2.2	-
RP11-553K23.2	-
RPL39P5	-
AC090421.1	-
RP11-151A10.2	-
SPDYE3	-
RP11-91K8.4	-
MBLAC1	-
AC073063.1	-
CBX1P4	-
CBX1P2	-
C6ORF174	-
ATP5F1P2	-
AC020763.1	-
AC133644.3	-
NEURL1B	-
RP11-7D5.2	-
HAUS3	-
RP11-457K10.2	-
LINC00488	-
RP11-121L10.3	-
AC217773.1	-
LCNL1	-
BBIP1	-
FAM149B2	-
AC064872.1	-
AS3MT	-
FAM187A	-
PLIN5	-
RP11-30P6.3	-
SMARCE1P6	-
PPME1	-
STARD10	-
RP11-360G10.2	-
RP11-89A12.1	-
HMGN2P42	-
RP11-479O17.2	-
RP11-65N13.6	-
EML6	-
RP11-477J21.2	-
RP11-3N2.13	-
RP11-27I1.6	-
KRT8P26	-
AC007956.1	-
C10ORF105	-
AC007347.1	-
IFRD2	-
AC090616.2	-
LRRC37BP1	-
TOMM6	-
RP11-332E4.1	-
AP002380.1	-
POLR2J4	-
AC010468.1	-
CYCSP55	-
DDX12P	-
ZFYVE9P2	-
SHFM1P1	-
SRSF9P1	-
AC004540.5	-
RPS9P1	-
CTD-2299I21.1	-
USP8P1	-
C17ORF84	-
AC003102.1	-
ZSWIM7	-
RP11-428C6.1	-
ISPD	-
RP11-355K23B.1	-
RP11-40H20.1	-
PPIAP29	-
RP11-481A12.5	-
MESTP4	-
CHCHD2P2	-
DNAJA1P3	-
C22ORF29	-
AL645728.1	-
AC099544.2	-
COL28A1	-
AL137003.1	-
RP1-257A7.4	-
FDPSP5	-
LOC678655	-
GLULP6	-
RP11-292F22.3	-
GRID2IP	-
PRDX2P1	-
RP3-380B8.1	-
AC027763.2	-
RP11-522H2.3	-
EEF1A1P29	-
AC004148.1	-
TERF1P4	-
RP11-313J2.1	-
AC141586.5	-
RP11-1023L17.2	-
RP11-30M20.1	-
MAPK6PS4	-
MSMP	-
FAM166B	-
GUSBP4	-
PEX26	-
AC091878.1	-
RP11-182N22.7	-
YWHAZP6	-
AP000269.1	-
UBE2QL1	-
RP11-54D18.2	-
RP11-266K4.9	-
AL137145.2	-
FASTKD5	-
C14ORF167	-
HOMEZ	-
HMGB3P24	-
DDX3X	-
RP11-98L4.1	-
ASS1P10	-
SLC25A5P1	-
MRPL3P1	-
FAM66B	-
SCRT2	-
PSMA6P1	-
NPEPL1	-
RP5-981L23.1	-
AL136218.1	-
CALM2P3	-
XXBAC-B562F10.11	-
AP005482.1	-
RP11-764K9.4	-
AL136219.1	-
GRK6P1	-
RP5-836E8.1	-
RP5-967N21.2	-
C20ORF202	-
HMX1	-
AC114730.8	-
RSC1A1	-
TMEM167B	-
RP1-21O18.3	-
RP11-551G24.2	-
RP11-438O11.1	-
RP5-968D22.2	-
TSTD1	-
RP11-426L16.8	-
RP11-364B6.1	-
RP5-837M10.1	-
CYB5RL	-
RP11-334L9.1	-
ZBTB8B	-
AL353354.1	-
RP4-597A16.3	-
C1ORF167	-
ATAD3C	-
HSA-MIR-220B	-
MIR922	-
MIR937	-
MIR940	-
MIR939	-
AP001623.1	-
RP11-490H24.5	-
KRT19P2	-
DUTP5	-
RP3-406A7.5	-
GAPDHP72	-
RP3-406P24.1	-
RP1-15D7.1	-
RP1-53C18.2	-
RP1-152L7.5	-
RP1-244F1.2	-
RP1-40E16.8	-
RPS2P55	-
AL022393.7	-
RP1-97D16.1	-
AC131097.4	-
CCDC7	-
RPL10P1	-
RP11-30P6.1	-
FNIP1	-
RP11-129H15.4	-
RP1-319M7.2	-
SP9	-
CBX3P9	-
RP11-753G20.1	-
RP11-528A10.2	-
ISCA1P1	-
SYCE3	-
IQCB2P	-
CKLF	-
RP11-204C16.4	-
AC064847.2	-
RP1-95L4.4	-
AC073263.1	-
ASS1P9	-
RP11-465B22.3	-
PAM16	-
RP11-263F15.1	-
RP4-800J21.3	-
RSL24D1P1	-
KRT8P43	-
TATDN2P2	-
RP11-96J19.1	-
AC006024.4	-
C1ORF196	-
ODZ3	-
RP11-789A7.1	-
SLC25A20P1	-
RP11-296E7.1	-
RP11-554D15.2	-
H2AFZP3	-
LINC00339	-
SPTLC1P2	-
GAPDHP63	-
RP4-791C19.1	-
AC008060.7	-
BRD7P4	-
RP3-453I5.2	-
FAM8A6P	-
GSTM2P1	-
RP1-129L7.1	-
RP11-528A10.1	-
RP11-506E9.1	-
RP1-167A19.5	-
RNASEK	-
RP11-181C21.4	-
RP11-480N24.3	-
AMZ2P2	-
PIP5K1P1	-
RP11-397G5.2	-
ATP5GP1	-
RP1-265C24.5	-
RP11-365H23.1	-
FTH1P8	-
AP000580.1	-
RP3-323K23.3	-
AC006465.3	-
RP1-281H8.3	-
PPP1R3G	-
AC008073.6	-
CTD-2006C1.2	-
RP3-425P12.4	-
RP11-325O24.2	-
RP1-292B18.1	-
RP1-199J3.5	-
RP11-40G16.1	-
RP11-430A19.2	-
ZSCAN12P1	-
RPL12P8	-
RP11-378G13.2	-
LINGO3	-
RP11-486M3.2	-
ACTBP8	-
RP1-56L9.3	-
RP11-95M15.2	-
RP11-111D3.1	-
ASS1P1	-
RP11-236B18.1	-
KRASP1	-
RCC2P7	-
RP11-530A18.1	-
RP1-121G13.3	-
RP11-277I20.3	-
RP3-351K20.4	-
RP1-59B16.1	-
RP11-565J7.3	-
RP3-322L4.2	-
MTMR9LP	-
AC093642.5	-
RP11-572P18.1	-
MESTP1	-
AC002558.1	-
AL031963.1	-
AL031963.2	-
MIR1237	-
MIR663B	-
SNORA81	-
MIR1181	-
AC013283.1	-
MIR1825	-
AL445309.1	-
MIR1307	-
MIR1282	-
MIR1234	-
RP11-137L10.6	-
C16ORF3	-
FANCG	-
RP11-404E6.1	-
PLXNA4	-
ZNF321P	-
RP11-332L8.2	-
C3ORF71	-
HMSD	-
C19ORF73	-
ZNF880	-
FAM45B	-
XKR9	-
SLC12A8	-
TTC4P1	-
MYBPHL	-
PPT2	-
C5ORF55	-
ZNF630	-
TIAF1	-
AP000322.54	-
AC062017.1	-
RP5-1039K5.16	-
MIR1915	-
AC127496.2	-
AC093628.1	-
AL391839.1	-
MIR1908	-
RNU2-2	-
U2	-
MIR1470	-
AC117415.1	-
AC026956.1	-
AL355388.1	-
MIR1469	-
AC027307.1	-
AC092296.1	-
AL122015.1	-
AL132780.2	-
MIR1909	-
U2	-
RNU4-5P	-
RP13-131K19.2	-
HIST2H2BA	-
RP11-348I14.4	-
AC010984.4	-
FTH1P10	-
SEC22B	-
RP11-91A18.4	-
RPS10P7	-
AC097467.2	-
AC016716.1	-
AC004041.2	-
GAPDHP69	-
AL020996.1	-
RP11-545E17.3	-
RP11-322M19.1	-
VPS52	-
ATP6V0E1P2	-
AC093690.1	-
EEF1A1P8	-
AC008069.1	-
LL0XNC01-157D4.1	-
ZNF844	-
AC034228.3	-
TMSL4	-
CKMT1A	-
PLAC2	-
RP11-216N14.7	-
RP11-289I10.2	-
UHRF2P1	-
HMGB3P10	-
AC011242.6	-
EEF1A1P24	-
RPL34P26	-
ADH5P3	-
CTA-929C8.7	-
PSMD4P1	-
RP4-717I23.3	-
LINC00205	-
LGALS8-AS1	-
UBE2E1-AS1	-
AC009041.2	-
AP000295.7	-
CERS1	-
CFL1P1	-
RP11-505P4.6	-
EEF1A1P1	-
AC079354.4	-
RP11-74C1.2	-
AC005517.3	-
AC019048.1	-
RP11-251G23.2	-
RP5-995J12.2	-
AC112211.2	-
AC068657.2	-
AC009480.3	-
RP11-183E9.2	-
RP11-33A14.1	-
AC068491.3	-
AC138623.1	-
RP11-84A14.5	-
AC090099.2	-
RP11-488L18.6	-
RP11-728K20.1	-
RP11-383C5.4	-
AC016725.4	-
AC005076.5	-
RP1-90G24.6	-
AC006509.7	-
AC092106.1	-
RP11-344H11.5	-
RP4-622L5.7	-
RP11-430K21.2	-
SNHG14	-
RP11-578F5.1	-
RP11-472B18.1	-
AC005027.4	-
PTPN2P2	-
AC026271.3	-
AC000123.4	-
AC009506.1	-
HMGB1P9	-
DNAJC27-AS1	-
RP3-522D1.1	-
AC009336.23	-
FMR1-AS1	-
RP11-574K11.5	-
PNMA6A	-
RP11-10L12.1	-
AL590762.6	-
RP11-232D9.1	-
AC110299.5	-
MRRFP1	-
AC093555.1	-
AC114730.3	-
RP3-404F18.2	-
CTD-2290C23.1	-
AC012317.1	-
CHL1-AS2	-
AC093662.6	-
AP000357.4	-
FAM8A3P	-
AL121578.5	-
RP4-562J12.1	-
AKIRIN2-AS1	-
AC000035.3	-
RP11-34C15.1	-
C17ORF72	-
RP3-417O22.3	-
RP3-395M20.2	-
LL22NC03-13G6.2	-
RP5-956O18.3	-
RP11-1033A18.1	-
PRKAR2A-AS1	-
AC073869.2	-
AP000281.1	-
RP13-204A15.3	-
RP11-161E22.2	-
RSL24D1P6	-
RP11-439L18.2	-
ATXN1L	-
RP11-449I17.5	-
AC136289.1	-
RP11-179H18.8	-
AC010127.5	-
AC002117.1	-
RP11-385M4.3	-
AC012318.1	-
RP5-881P19.6	-
RP11-341G5.2	-
AC084058.1	-
RP5-884C9.2	-
RP11-202P11.1	-
RP11-534G20.3	-
AC007919.18	-
AC124944.2	-
RP11-305E17.6	-
MEF2AP1	-
RP11-247I13.8	-
RP5-854E16.2	-
AC131971.3	-
AC064871.3	-
AC009227.2	-
PLA2G12AP1	-
RP11-426A6.9	-
RP11-21M7.1	-
RP11-225L12.2	-
RP6-227L5.1	-
RP11-576D8.4	-
CEP57L1P1	-
AC099850.1	-
SHMT1P1	-
FDPSP8	-
RP11-54O15.3	-
RP1-170D19.3	-
BRAFP1	-
RP13-77O11.2	-
CETN4P	-
AC012363.4	-
AP003039.3	-
KPNA3-IT1	-
AP000357.5	-
RP11-18M11.2	-
BTF3P4	-
RP11-171A24.3	-
AC019109.1	-
RP11-651P23.4	-
BTF3P9	-
RP4-702J19.1	-
LINC00240	-
RP1-90J20.8	-
RP1-104O17.1	-
OPA1-AS1	-
YBX1P1	-
RP4-758J18.2	-
C17ORF89	-
RP11-119F19.4	-
RP11-276H19.4	-
RP5-1142A6.2	-
AC007899.3	-
RP11-3B12.1	-
RP5-934G17.6	-
AP001347.6	-
RP1-102E24.9	-
TIMM8BP2	-
AC015936.3	-
LINC00320	-
RP11-51C14.1	-
RP11-82L18.2	-
AC007312.3	-
SRIP3	-
RP11-297K8.2	-
PPP1R8P1	-
AL049840.1	-
RP13-228J13.6	-
KCTD9P1	-
UBE2D3P1	-
AC091492.2	-
HMGB3P22	-
GS1-756B1.1	-
AC096574.4	-
RP11-426L16.3	-
SETP20	-
LL0XNC01-16G2.1	-
RP5-1160K1.3	-
LINC00237	-
AC103965.1	-
TOMM22P5	-
CTD-2538A21.1	-
BRI3P1	-
XXBAC-BPG308K3.5	-
RP11-390P2.4	-
PLEKHM1	-
RP11-97C18.1	-
RPS12P26	-
MIR2682	-
AC079790.2	-
AC007362.3	-
AC091814.2	-
AP000936.5	-
NBPF8	-
RP11-403F21.1	-
ST13P6	-
AC007255.7	-
RP11-378J18.3	-
AP000350.6	-
RP11-539I5.1	-
ASS1P11	-
RP1-144F13.4	-
AC079630.4	-
SNX18P3	-
RP13-331H15.1	-
RP11-433O3.1	-
BXDC1P	-
RP11-426A6.7	-
TDGF1P3	-
AC009506.2	-
AC099754.1	-
AC016700.4	-
AC010878.3	-
RP11-207C16.4	-
AC107016.1	-
AC104134.2	-
AC005971.3	-
BOLA3-AS1	-
AC003102.3	-
RP11-525A16.4	-
FDPSP1	-
RFPL1-AS1	-
JPX	-
RP11-120J1.1	-
ATP13A4-AS1	-
RP11-773D16.1	-
ARHGAP23	-
RP11-301G21.1	-
RP11-403P14.1	-
RP4-610C12.3	-
AC104651.2	-
RP11-160A10.2	-
RP11-236B18.3	-
RP3-370M22.8	-
RP11-196I18.3	-
RP6-145B8.3	-
AC018799.1	-
AC002480.5	-
KB-1027C11.4	-
RP11-527D7.1	-
AP000320.6	-
UBE2D3P2	-
CCT4P2	-
NCBP2-AS1	-
RP1-159M24.1	-
XXBAC-BPG308K3.6	-
MTOR-AS1	-
RP11-325P15.1	-
ZNF469	-
AC009232.2	-
MTND2P28	-
AC064875.2	-
SAR1P3	-
RP11-54K16.2	-
ATP5G2P1	-
RP11-325E14.5	-
AP001627.1	-
AC090937.2	-
AL132709.5	-
DBH-AS1	-
CROCCP1	-
AC092933.3	-
RP4-537K17.2	-
RP11-322F10.2	-
AC011236.7	-
RP1-180E22.3	-
AC004540.4	-
AC073321.4	-
MRPS11P1	-
RP11-547I7.1	-
GRPEL2P2	-
UBXN7-AS1	-
ERCC6	-
RN18S1	-
RUSC1-AS1	-
RP1-172N19.3	-
AC016582.2	-
CTB-70D19.1	-
RP3-322I12.2	-
LINC00115	-
RP3-511B24.5	-
NOL7	-
RP4-575N6.4	-
RP11-395B7.2	-
RP11-339B21.9	-
AC017096.1	-
PPP1R28	-
MTND1P23	-
AC018926.1	-
AC074138.3	-
RP3-340N1.5	-
RP5-1119D9.4	-
RP11-436D23.1	-
CCT8P1	-
PRICKLE2-AS3	-
RP1-260J9.2	-
PPIAP21	-
AC005740.3	-
RP11-196I18.4	-
MEMO1P1	-
HMGB3P20	-
RP11-403I13.7	-
RP11-552E20.4	-
AC016772.4	-
RP11-345J13.1	-
USP12PX	-
RP11-53M11.2	-
SEPT7P3	-
AC073043.2	-
LYST-IT1	-
EIF4A1P5	-
RP11-438H8.8	-
RP11-50E11.3	-
RP1-104O17.3	-
ABC7-42389800N19.1	-
RP11-410C4.3	-
AC007237.2	-
ZNF32-AS1	-
AC005034.3	-
AC009961.3	-
RP11-61N20.3	-
AC079305.5	-
PSPHP1	-
RP11-7G12.1	-
NPY6R	-
SMARCE1P2	-
CFLAR-AS1	-
CTA-217C2.1	-
RP11-157P1.4	-
AC105402.3	-
NMD3P1	-
AC055811.5	-
TERF1P5	-
DCAF8L1	-
RP13-614K11.2	-
AC084809.2	-
RP11-119F19.2	-
CTD-2269E23.2	-
RP11-31F19.1	-
OR8T1P	-
TPI1P1	-
AC018641.6	-
PLCL2-AS1	-
XXYAC-YX65C7_A.2	-
RP11-430L17.1	-
RP11-102H24.1	-
AC003029.4	-
CTA-292E10.6	-
RP11-776H12.1	-
TMEM185B	-
AC098824.5	-
LINC00323	-
RP11-196G18.1	-
RP11-478K15.1	-
RPS7P10	-
RP1-37C10.3	-
RP11-348F1.2	-
RP5-1052M9.1	-
AC012512.1	-
GAPDHP73	-
MYL6P1	-
RPL7P22	-
SCDP1	-
AC018735.1	-
AGKP1	-
RP11-561G1.2	-
FTH1P20	-
RP11-258F22.1	-
AC004258.1	-
AC007098.1	-
FTLP3	-
RP13-13A3.1	-
RP11-128M1.1	-
PSMD10P2	-
HSPA9P1	-
RP3-418C23.2	-
AC012309.5	-
RP11-429G19.2	-
ANKRD20A10P	-
FAM66C	-
RP11-87N24.2	-
EEF1DP2	-
RP11-142L4.3	-
RP11-397G17.1	-
CTA-929C8.6	-
HSBP1L1	-
AC079781.5	-
RP11-27I1.2	-
RP11-298E9.6	-
SRRM5	-
FABP7P1	-
RP11-654E17.2	-
TBCAP1	-
TLK1P1	-
RP3-419C19.2	-
AC005082.12	-
SUGT1P	-
RP4-756H11.3	-
RP11-278H7.1	-
RP1-212P9.2	-
AC010894.3	-
AC109638.1	-
RP11-500G22.2	-
AC002472.11	-
RP11-182I10.3	-
RP5-1068B5.3	-
AC139100.1	-
RP11-564A8.4	-
SNHG13	-
AC010890.1	-
AC104306.4	-
CENPC1P1	-
RP11-543B16.2	-
IL6STP1	-
AC007254.3	-
AC007639.1	-
RP11-533F5.2	-
C14ORF132	-
RP11-395B7.4	-
DPPA3P1	-
RP5-1141O19.2	-
RP5-1028L10.1	-
HMGB3P8	-
AC096574.5	-
AC087859.1	-
RP11-316C12.2	-
C10ORF101	-
RP11-545A16.3	-
ZDHHC20-AS1	-
AL354993.1	-
RP11-323P17.1	-
MYL6P3	-
AC092641.2	-
HDGFP1	-
EPPK1	-
RP5-1104E15.6	-
TRGC2	-
C6ORF47-AS1	-
ST7-AS1	-
CNN2P1	-
RP5-1042I8.3	-
RP11-203J24.8	-
AC017101.10	-
AC011998.4	-
AP000266.5	-
C13ORF44-AS1	-
ACTR3BP5	-
RP11-305O4.2	-
RP11-458D21.2	-
RP3-327A19.5	-
HSFY3P	-
ELL2P1	-
RP11-443A13.3	-
RP11-258C19.4	-
RP11-266F12.1	-
PARG	-
RBM26-AS1	-
RP11-180I4.1	-
AC079753.5	-
FTH1P16	-
RP11-152N13.8	-
RP11-112J3.16	-
RP11-447D11.2	-
AC012501.2	-
RPL37P1	-
RP11-397P13.6	-
AC006026.11	-
RP11-179H18.5	-
ATP5G1P4	-
RP11-307B23.2	-
RP11-169D4.1	-
XX-C283C717.1	-
CCNJP1	-
RP11-316M21.6	-
AC109333.10	-
SCAMP4	-
AC114755.3	-
RP11-152N13.5	-
SPAG5-AS1	-
RP1-35C21.2	-
RP13-140E4.1	-
RP11-262H14.7	-
ATP5G1P5	-
RP5-1177E19.2	-
RP11-149J18.1	-
RP11-492E3.2	-
PHBP11	-
RP1-101K10.6	-
HNRNPA1P14	-
RP11-488L18.4	-
RP11-326L24.7	-
RP11-73O6.3	-
ATP5A1P2	-
AC087499.10	-
AC017071.1	-
AC005884.1	-
RP11-301M17.1	-
RP5-1059H15.1	-
RP11-35D5.3	-
AC092646.2	-
RP11-536C5.7	-
AC098826.5	-
RP1-20B21.4	-
RP11-162O12.2	-
AC012358.4	-
RP4-773A18.4	-
RP1-180M12.1	-
SLC9A7P1	-
RP11-958N24.2	-
SUCLA2-AS1	-
RP11-156G14.6	-
AC007276.5	-
FAM66A	-
RP13-100B2.4	-
RP5-839B4.7	-
AL353791.1	-
RP11-423F24.3	-
RP3-475B7.3	-
AC007383.3	-
AC098592.6	-
AC023356.3	-
RP11-335G20.5	-
RP11-397J18.1	-
LINC00357	-
AC018712.3	-
RP11-383C5.3	-
RP4-581F12.1	-
POLR2J2	-
RP11-325E14.2	-
CFL1P3	-
RP11-552D4.1	-
Z83001.1	-
RP11-135J2.4	-
CTA-481E9.1	-
HLA-U	-
RP5-884G6.2	-
RP11-119F7.4	-
RP11-302K17.7	-
RP11-452F19.3	-
AP000692.9	-
MFI2-AS1	-
ST13P19	-
AC118653.1	-
PHBP3	-
RP11-516A11.3	-
AC099684.1	-
RP11-308N19.5	-
RPL3P1	-
TLE1P1	-
RP11-489C13.1	-
PPIAP19	-
RP1-40E16.11	-
RP1-317E23.3	-
GEMIN8P4	-
RP11-363H12.1	-
RP11-342M1.3	-
CTA-415G2.2	-
PTPN2P1	-
AC017076.4	-
AC016717.1	-
RP11-541F9.2	-
ATF4P3	-
AC074363.1	-
HCG11	-
GAPDHP1	-
GLRXP	-
AC073271.1	-
RP11-8J9.4	-
GS1-304P7.2	-
AC006028.9	-
UBBP2	-
RP11-350G8.7	-
