HGNC	Module_Label
SLC6A16	-
SPHK2	-
EPN1	-
MED29	-
AHRR	-
ZNF275	-
HAGH	-
RNF4	-
CASP8	-
TM7SF3	-
DMRT3	-
ATP2C2	-
NGFR	-
MEF2BNB-MEF2B	-
RFXANK	-
TMEM161A	-
CTSA	-
SLC12A2	-
CNN2	-
ABCA7	-
SNCAIP	-
BCAS1	-
SBNO2	-
PMS1	-
TAF11	-
AP3D1	-
ZNF76	-
SLC9A3R2	-
NTHL1	-
UHRF1BP1	-
PKN2	-
WDR18	-
NTN1	-
GLP2R	-
NDUFB4	-
MYLK	-
SLK	-
COL17A1	-
GSTO2	-
PRKCQ	-
TLE2	-
TBC1D1	-
SLC9A7	-
FOXJ2	-
YBX1	-
CTNNA2	-
ZBTB11	-
ATXN3	-
LRRC40	-
ISOC1	-
THUMPD1	-
ATG2B	-
ARFGEF1	-
MTFR1	-
FECH	-
DDX3Y	-
IDI1	-
KLF6	-
NEO1	-
TRAM1	-
METTL22	-
TP53BP1	-
RRP15	-
RHOA	-
ZFY	-
IARS2	-
NAV3	-
IDH3G	-
ROGDI	-
PDZD4	-
ROCK1	-
CBFB	-
HDAC4	-
HEATR6	-
COASY	-
TBC1D25	-
INPP5A	-
GPKOW	-
GRIPAP1	-
ATP11A	-
CYFIP1	-
KIF2A	-
RASGRP2	-
TRPC7	-
GPR116	-
SDK2	-
NUCKS1	-
CLEC2D	-
FUNDC1	-
DRD4	-
ATP1B3	-
LRP6	-
SCT	-
IKBKAP	-
NUCB2	-
PFN2	-
FGF10	-
SLC44A1	-
FGF22	-
FSTL3	-
DGCR2	-
RNF126	-
POLB	-
ST6GALNAC1	-
ASNS	-
CNGB1	-
ST6GALNAC2	-
C16ORF80	-
PTPN21	-
CDC42	-
OSBPL3	-
EPHA8	-
WDR1	-
SNX13	-
RPS6KA2	-
ING3	-
WBSCR22	-
SEL1L	-
TRIP13	-
MBD3	-
FAM50A	-
CDH19	-
SLC6A15	-
RDH11	-
LPHN1	-
ZFYVE26	-
RPS6KA6	-
ACCN4	-
ALDH3A2	-
TFRC	-
SREBF1	-
TRPC5	-
AFF4	-
RHOBTB1	-
MARK2	-
NFATC3	-
STK10	-
ACAP1	-
DERL2	-
SIDT1	-
PVR	-
XRCC1	-
SCARB1	-
LLGL2	-
CLCN4	-
FERMT2	-
PTGS2	-
IGF2BP2	-
TBX21	-
CLASP1	-
CLNS1A	-
CDHR2	-
ATP2A3	-
NTN4	-
BCS1L	-
NUAK1	-
SLC24A1	-
LMAN1	-
PTPLAD1	-
SLC12A1	-
KCNQ2	-
ACTR6	-
TIPIN	-
EIF4G3	-
ACAT1	-
WNT8B	-
SLC25A40	-
C18ORF55	-
ADD2	-
RASAL2	-
C16ORF7	-
SLC25A3	-
FNDC3B	-
FOSL2	-
CACNG5	-
FRYL	-
TMEM131	-
ATP12A	-
DLG1	-
BCAP29	-
ARHGAP15	-
EXOSC7	-
KIFAP3	-
MKRN2	-
MLH1	-
SLC46A1	-
ANKRD13A	-
ICAM3	-
RAP1GAP	-
ARHGEF1	-
STXBP2	-
MAP2K7	-
TM9SF3	-
PPP1R12B	-
DNAJC10	-
