"Geneid" "5_B1_R1_9wk" "5_B1_R2_9wk" "5_B2_R1_9wk" "5_B2_R2_9wk" "5_cor_B1_R1_9wk" "5_cor_B1_R2_9wk" "5_cor_B2_R1_9wk" "5_cor_B2_R2_9wk"
"OR4F5" 0 0 0 0 0 0 0 0
"OR4F29" 0 0 0 1 0 0 0 2
"OR4F16" 0 0 0 1 0 0 0 2
"SAMD11" 150 61 312 370 84 210 141 98
"NOC2L" 1627 862 2607 2818 2257 1436 1271 1782
"KLHL17" 495 256 755 890 872 727 541 639
"PLEKHN1" 0 3 4 13 6 7 5 2
"PERM1" 4 3 4 9 3 4 2 4
"HES4" 1100 603 1984 2180 1858 1401 1311 2088
"ISG15" 128 98 206 221 269 226 214 220
"AGRN" 7502 5744 14813 16922 11224 9172 6411 11446
"RNF223" 0 0 0 0 0 0 0 0
"C1orf159" 568 251 724 975 661 668 539 583
"TTLL10" 0 0 0 2 0 0 7 2
"TNFRSF18" 8 2 2 3 0 0 1 2
"TNFRSF4" 0 0 6 3 0 1 6 0
"SDF4" 1633 1425 3665 3627 2451 1986 1851 2287
"B3GALT6" 828 602 1471 1845 1021 645 504 872
"C1QTNF12" 19 11 63 45 29 34 41 31
"UBE2J2" 1115 559 1514 1823 1237 998 834 1144
"SCNN1D" 352 383 591 684 828 876 862 742
"ACAP3" 5200 2749 5256 7249 12489 7582 4477 8901
"PUSL1" 153 117 260 355 332 193 164 271
"INTS11" 1989 1207 2860 3306 2819 2320 2138 2233
"CPTP" 447 230 684 818 389 286 246 406
"TAS1R3" 64 6 59 93 53 52 34 53
"DVL1" 1579 1015 2710 2950 2357 2114 1889 2031
"MXRA8" 265 251 1416 990 536 1269 929 545
"AURKAIP1" 666 485 1177 1213 973 568 592 694
"CCNL2" 7057 4569 11152 14030 9490 10015 8081 8978
"MRPL20" 617 393 999 1280 859 623 538 795
"ANKRD65" 47 41 98 93 34 97 106 29
"TMEM88B" 14 6 20 5 9 16 15 23
"VWA1" 156 146 710 649 552 570 567 275
"ATAD3C" 3 8 11 17 20 30 30 18
"ATAD3B" 809 479 1313 1307 1203 1223 1055 980
"ATAD3A" 614 378 1110 1132 941 671 614 720
"TMEM240" 172 88 245 267 206 132 146 164
"SSU72" 1565 859 2524 2791 1998 1141 981 1504
"FNDC10" 252 274 446 521 350 252 261 384
"MIB2" 1417 929 2161 2435 1754 1798 1583 1642
"MMP23B" 19 4 18 30 16 21 14 14
"CDK11B" 1229 703 1848 1916 1732 1294 1159 1314
"SLC35E2B" 4049 1682 5740 6512 4368 3028 2626 4254
"CDK11A" 3 6 15 15 10 18 16 17
"SLC35E2" 401 181 576 584 416 260 280 379
"NADK" 963 635 1957 2033 1653 1270 1178 1551
"GNB1" 17295 8421 24898 27787 16434 9847 9866 13199
"CALML6" 4 6 4 4 8 5 2 2
"TMEM52" 8 7 16 6 16 29 13 20
"CFAP74" 14 14 14 23 106 173 73 171
"GABRD" 2 0 2 0 8 1 0 8
"PRKCZ" 633 189 834 966 308 140 133 301
"FAAP20" 357 241 649 679 544 430 363 511
