"","Treatment","DMSO_WT","Treatment_Mean","FC","p.val","FCR"
"1","DMSO-(WT)",NA,NA,NA,NA,NA
"2","DMSO",1.47557679266308,1.47557679266308,1,NA,1
"3","IGF1",1.18598591094524,1.47557679266308,1.24417733722236,0.020192,1.24
"4","RAPA",1.18598591094524,1.27784440590458,1.07745327673085,0.16557,1.08
"5","DHPG",1.18598591094524,0.96934660526747,0.817333997243601,0.031799,0.82
"6","TG003",1.18598591094524,1.3764179052375,1.160568513112,0.046296,1.16
"7","BDNF",1.18598591094524,1.38161017376227,1.16494653183621,0.022266,1.16
"8","EFT508",1.18598591094524,1.16425783683246,0.98167931514847,0.59952,0.98
