"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement"
"333","2","IGF1","9","3","MKO2",405.359890841151
"320","2","IGF1","9","13","GFP",794.626215417344
"321","2","IGF1","9","15","GFP",293.174378954178
"322","2","IGF1","9","8","GFP",593.731569686555
"323","2","IGF1","9","9","GFP",336.438515840149
"324","2","IGF1","9","1","GFP",286.768847260425
"325","2","IGF1","9","5","GFP",166.747923789295
"338","2","IGF1","10","10","MKO2",174.353864020291
"339","2","IGF1","10","5","MKO2",444.410184113462
"340","2","IGF1","10","7","MKO2",294.876498095794
"341","2","IGF1","10","9","MKO2",194.176734203122
"342","2","IGF1","10","3","MKO2",686.970098428128
"334","2","IGF1","10","2","GFP",516.091239505926
"335","2","IGF1","10","3","GFP",639.938374834087
"336","2","IGF1","10","4a","GFP",277.342223932213
"337","2","IGF1","10","6","GFP",292.464853013087
"347","2","IGF1","11","3","MKO2",572.371083665945
"348","2","IGF1","11","5","MKO2",610.990433148739
"349","2","IGF1","11","6","MKO2",669.261806610169
"350","2","IGF1","11","7","MKO2",185.995145102713
"351","2","IGF1","11","8","MKO2",562.048775076365
"343","2","IGF1","11","3","GFP",562.219621280563
"344","2","IGF1","11","4","GFP",604.510963189948
"345","2","IGF1","11","5","GFP",414.32494414769
"346","2","IGF1","11","7","GFP",1217.31125142768
"355","2","IGF1","12","11","MKO2",447.200490737083
"356","2","IGF1","12","12","MKO2",692.422633369229
"357","2","IGF1","12","3","MKO2",539.317034314314
"352","2","IGF1","12","10","GFP",903.76449454556
"353","2","IGF1","12","6","GFP",410.449621492242
"354","2","IGF1","12","8","GFP",346.571493659271
"504","2","RAPA","6","14","MKO2",511.323403039295
"522","2","RAPA","6","10","MKO2",230.462861976109
"523","2","RAPA","6","12","MKO2",509.257935472842
"524","2","RAPA","6","13","MKO2",258.790529101484
"525","2","RAPA","6","15","MKO2",298.026981694071
"526","2","RAPA","6","16","MKO2",408.573484696249
"527","2","RAPA","6","18a","MKO2",695.297706266114
"528","2","RAPA","6","18b","MKO2",639.430321329352
"529","2","RAPA","6","19","MKO2",346.448444595814
"530","2","RAPA","6","2","MKO2",652.709297638893
