"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement"
"365","3","IGF1","13","5","GFP",145.847694132679
"389","3","IGF1","14","10","MKO2",805.479547185776
"390","3","IGF1","14","11","MKO2",190.419975503273
"391","3","IGF1","14","13","MKO2",381.189299972981
"392","3","IGF1","14","14","MKO2",119.734684761513
"393","3","IGF1","14","2","MKO2",279.924715219117
"394","3","IGF1","14","9","MKO2",132.624171521918
"378","3","IGF1","14","15","GFP",482.535479549925
"379","3","IGF1","14","1","GFP",194.923229276732
"380","3","IGF1","14","10","GFP",305.220462701814
"381","3","IGF1","14","12","GFP",205.884296992543
"382","3","IGF1","14","13","GFP",289.656061823205
"383","3","IGF1","14","17","GFP",306.413214681018
"384","3","IGF1","14","2","GFP",414.845139318324
"385","3","IGF1","14","3","GFP",696.716758148294
"386","3","IGF1","14","4","GFP",777.82443686897
"387","3","IGF1","14","5","GFP",521.107031891981
"388","3","IGF1","14","8","GFP",249.613175350369
"401","3","IGF1","15","12","MKO2",320.569391685665
"402","3","IGF1","15","14","MKO2",466.944937547017
"403","3","IGF1","15","16","MKO2",602.964377136449
"404","3","IGF1","15","2","MKO2",308.535449603927
"405","3","IGF1","15","3","MKO2",412.299617163939
"406","3","IGF1","15","6","MKO2",495.391168627991
"407","3","IGF1","15","8","MKO2",586.159427137895
"395","3","IGF1","15","10","GFP",349.845026321007
"396","3","IGF1","15","11","GFP",493.693534594234
"397","3","IGF1","15","12","GFP",1060.23473543583
"398","3","IGF1","15","14","GFP",677.623212130493
"399","3","IGF1","15","16","GFP",377.421713264913
"400","3","IGF1","15","9","GFP",133.604623056546
"576","3","RAPA","9","1","MKO2",354.185090448308
"577","3","RAPA","9","10","MKO2",416.765901804879
"578","3","RAPA","9","11","MKO2",245.522380800164
"579","3","RAPA","9","12","MKO2",547.146102998107
"580","3","RAPA","9","13","MKO2",500.493040944981
"581","3","RAPA","9","16","MKO2",446.531105378695
"582","3","RAPA","9","17","MKO2",228.408222417877
"583","3","RAPA","9","2","MKO2",592.175469282513
"584","3","RAPA","9","5","MKO2",231.350890679437
"585","3","RAPA","9","7","MKO2",383.622601072129
"586","3","RAPA","9","8","MKO2",493.872037356471
"587","3","RAPA","9","9","MKO2",177.645881248287
"561","3","RAPA","9","19","GFP",343.721248229011
"562","3","RAPA","9","24a","GFP",480.788734717749
"563","3","RAPA","9","9","GFP",350.420675190419
"564","3","RAPA","9","10","GFP",733.790835235271
"565","3","RAPA","9","12","GFP",153.08580083098
"566","3","RAPA","9","14","GFP",250.482719487437
"567","3","RAPA","9","18","GFP",325.871422781334
"568","3","RAPA","9","21","GFP",265.248343043836
"569","3","RAPA","9","22","GFP",206.386007596916
"570","3","RAPA","9","3","GFP",396.742872843369
"571","3","RAPA","9","4a","GFP",134.214069608297
"572","3","RAPA","9","4b","GFP",208.091298188713
"573","3","RAPA","9","6","GFP",216.622236255557
"574","3","RAPA","9","7","GFP",597.882303043397
"575","3","RAPA","9","8","GFP",238.562856253439
"592","3","RAPA","10","1","MKO2",124.111718021334
"593","3","RAPA","10","10","MKO2",347.730447956136
"594","3","RAPA","10","11","MKO2",433.906201311465
"595","3","RAPA","10","2","MKO2",103.129893541639
"596","3","RAPA","10","3","MKO2",754.925021352905
"597","3","RAPA","10","4","MKO2",281.485300731016
"598","3","RAPA","10","5","MKO2",448.500978663667
"599","3","RAPA","10","6","MKO2",340.0505694601
"600","3","RAPA","10","7","MKO2",923.576536720169
"601","3","RAPA","10","8","MKO2",386.246546599413
"602","3","RAPA","10","9","MKO2",305.614437358808
"588","3","RAPA","10","1","GFP",214.19976316463
"589","3","RAPA","10","3","GFP",562.825896382133
"590","3","RAPA","10","4","GFP",142.644928285802
"591","3","RAPA","10","5","GFP",507.013965144152
"608","3","RAPA","11","12","MKO2",446.672639008412
"609","3","RAPA","11","13","MKO2",400.707446879936
"610","3","RAPA","11","9","MKO2",321.683720291971
"603","3","RAPA","11","11","GFP",576.655694094461
"604","3","RAPA","11","12","GFP",378.877734279614
"605","3","RAPA","11","15","GFP",343.922720665366
"606","3","RAPA","11","19","GFP",426.21866625739
"607","3","RAPA","11","24","GFP",236.765142830343
"615","3","RAPA","12","10","MKO2",632.501423014787
"616","3","RAPA","12","12","MKO2",700.082713641331
"617","3","RAPA","12","13","MKO2",623.879919909145
"618","3","RAPA","12","9","MKO2",429.424603554447
"611","3","RAPA","12","17","GFP",318.399359622015
"612","3","RAPA","12","8","GFP",174.792464367845
"613","3","RAPA","12","9a","GFP",571.724667981673
"614","3","RAPA","12","9b","GFP",479.009505860913
"723","3","DHPG","9","1","MKO2",203.461823901616
"724","3","DHPG","9","10","MKO2",476.356247759149
"725","3","DHPG","9","12","MKO2",136.20559890971
"726","3","DHPG","9","13","MKO2",234.568969642393
"727","3","DHPG","9","14","MKO2",161.802898218101
"728","3","DHPG","9","3","MKO2",115.606921078789
"729","3","DHPG","9","8","MKO2",311.878435422844
"730","3","DHPG","9","9","MKO2",457.909117425619
"732","3","DHPG","9","11","MKO2",154.906483928196
"733","3","DHPG","9","4","MKO2",521.18862671506
"734","3","DHPG","9","6","MKO2",364.038172458175
"717","3","DHPG","9","1","GFP",171.161926181635
"718","3","DHPG","9","10","GFP",134.292492981196
"719","3","DHPG","9","3","GFP",420.370298866788
"720","3","DHPG","9","4","GFP",371.447125360673
"721","3","DHPG","9","5","GFP",238.124255905886
"722","3","DHPG","9","8","GFP",117.03362951901
"731","3","DHPG","9","9","GFP",708.915203533867
"741","3","DHPG","11","10","MKO2",535.780232617082
"742","3","DHPG","11","12","MKO2",423.160605490411
"743","3","DHPG","11","15","MKO2",125.94322912677
"744","3","DHPG","11","16","MKO2",324.184616755796
"745","3","DHPG","11","4","MKO2",398.726745586744
"746","3","DHPG","11","7","MKO2",340.797064533711
"748","3","DHPG","11","2","MKO2",988.873716435326
"749","3","DHPG","11","5","MKO2",370.057386052973
"735","3","DHPG","11","10","GFP",456.727193454635
"736","3","DHPG","11","11","GFP",286.731878127905
"737","3","DHPG","11","2","GFP",468.542492191435
"738","3","DHPG","11","4","GFP",340.470685241394
"739","3","DHPG","11","7","GFP",403.467127271399
"740","3","DHPG","11","9","GFP",593.528239457695
"747","3","DHPG","11","5","GFP",243.67555657865
"754","3","DHPG","12","1","MKO2",252.986787401443
"755","3","DHPG","12","10","MKO2",290.239367250657
"756","3","DHPG","12","11","MKO2",150.1061634369
"757","3","DHPG","12","4","MKO2",592.706492461368
"758","3","DHPG","12","5","MKO2",199.481936748971
"759","3","DHPG","12","8","MKO2",146.241668789673
"750","3","DHPG","12","1","GFP",336.007572050635
"751","3","DHPG","12","2","GFP",45.4787946401821
"752","3","DHPG","12","3","GFP",329.646666047442
"753","3","DHPG","12","4","GFP",204.531526817362
"879","3","TG003","9","1","MKO2",421.255156119935
"880","3","TG003","9","11","MKO2",583.045912672139
"881","3","TG003","9","12","MKO2",349.131015272058
"882","3","TG003","9","15","MKO2",352.401376483612
"883","3","TG003","9","16","MKO2",362.406820131416
"884","3","TG003","9","18","MKO2",218.424434786513
"885","3","TG003","9","19","MKO2",168.988722667804
"886","3","TG003","9","2","MKO2",308.783405523346
"887","3","TG003","9","7","MKO2",856.301827162004
"873","3","TG003","9","10","GFP",552.474275218074
"874","3","TG003","9","14","GFP",386.175779784554
"875","3","TG003","9","14b","GFP",158.306237103569
"876","3","TG003","9","15","GFP",477.225791896217
"877","3","TG003","9","3","GFP",428.659623914577
"878","3","TG003","9","6","GFP",578.379469252517
"899","3","TG003","10","13","MKO2",308.081536140295
"900","3","TG003","10","15","MKO2",570.44714972921
"901","3","TG003","10","18","MKO2",598.774816854585
"902","3","TG003","10","4","MKO2",374.289714232894
"903","3","TG003","10","5","MKO2",232.60675291546
"904","3","TG003","10","9","MKO2",403.35621987384
"888","3","TG003","10","11","GFP",463.378823275304
"889","3","TG003","10","14","GFP",289.566810442086
"890","3","TG003","10","16","GFP",322.583890661197
"891","3","TG003","10","17","GFP",504.145235147631
"892","3","TG003","10","18","GFP",120.381100445785
"893","3","TG003","10","19","GFP",204.62843475652
"894","3","TG003","10","20","GFP",587.396804807658
"895","3","TG003","10","3","GFP",262.305674782276
"896","3","TG003","10","4","GFP",174.929512889704
"897","3","TG003","10","5","GFP",596.396969454214
"898","3","TG003","10","7","GFP",360.233616617586
"905","3","TG003","10","9","GFP",870.159623791139
"917","3","TG003","11","11a","MKO2",525.410126886762
"918","3","TG003","11","11b","MKO2",704.081085360235
"919","3","TG003","11","12","MKO2",424.772159593231
"920","3","TG003","11","13","MKO2",636.059880728459
"921","3","TG003","11","3","MKO2",470.931167600024
"922","3","TG003","11","4","MKO2",407.425358407605
"923","3","TG003","11","5","MKO2",524.737570078191
"924","3","TG003","11","6","MKO2",219.501794260298
"925","3","TG003","11","9","MKO2",409.026084502204
"906","3","TG003","11","10","GFP",93.5324240092293
"907","3","TG003","11","11","GFP",74.1742952982521
"908","3","TG003","11","15","GFP",311.886091980883
"909","3","TG003","11","16","GFP",116.568888047157
"910","3","TG003","11","14","GFP",617.437419082872
"911","3","TG003","11","18","GFP",899.922969572451
"912","3","TG003","11","2","GFP",1036.93817381259
"913","3","TG003","11","3","GFP",913.514325715909
"914","3","TG003","11","4","GFP",313.934388638754
"915","3","TG003","11","7","GFP",256.297289195699
"916","3","TG003","11","9","GFP",420.073232148952
"1028","3","BDNF","12","1","MKO2",610.247097014233
"1029","3","BDNF","12","10","MKO2",336.498447748012
"1030","3","BDNF","12","12","MKO2",675.742576372799
"1031","3","BDNF","12","13","MKO2",809.799796486903
"1032","3","BDNF","12","2","MKO2",329.334279461627
"1033","3","BDNF","12","3","MKO2",753.331936371793
"1034","3","BDNF","12","4","MKO2",687.516420627834
"1068","3","BDNF","12","11","MKO2",284.587987188554
"1035","3","BDNF","12","1","GFP",613.223562897109
"1036","3","BDNF","12","10","GFP",445.332001369085
"1037","3","BDNF","12","14","GFP",310.083887092694
"1038","3","BDNF","12","15","GFP",106.098700752299
"1039","3","BDNF","12","16","GFP",170.694009760091
"1040","3","BDNF","12","3","GFP",472.856405500096
"1041","3","BDNF","12","6","GFP",166.183099521073
"1042","3","BDNF","12","7","GFP",229.530202876472
"1043","3","BDNF","12","9","GFP",279.976991727724
"1044","3","BDNF","13","12","MKO2",248.155835590384
"1045","3","BDNF","13","7","MKO2",231.555529818702
"1070","3","BDNF","13","11","MKO2",465.696731869033
"1071","3","BDNF","13","8","MKO2",363.473351596982
"1072","3","BDNF","13","9","MKO2",590.625711778834
"1046","3","BDNF","13","1","GFP",138.267892191261
"1047","3","BDNF","13","10a","GFP",175.717458601193
"1048","3","BDNF","13","10b","GFP",250.34118072531
"1049","3","BDNF","13","4","GFP",925.068194244282
"1050","3","BDNF","13","5","GFP",414.198715142293
"1051","3","BDNF","13","6","GFP",483.720565054016
"1052","3","BDNF","13","7","GFP",527.612632158139
"1053","3","BDNF","13","8","GFP",281.91623874078
"1054","3","BDNF","13","9","GFP",423.000578622221
"1069","3","BDNF","13","3","GFP",798.869371605486
"1055","3","BDNF","14","1","MKO2",360.225952674317
"1056","3","BDNF","14","11","MKO2",256.181891438127
"1057","3","BDNF","14","12","MKO2",215.084616008186
"1058","3","BDNF","14","3","MKO2",508.522257981902
"1059","3","BDNF","14","6","MKO2",301.862157578144
"1060","3","BDNF","14","9","MKO2",485.122445998874
"1074","3","BDNF","14","7","MKO2",258.979859871942
"1061","3","BDNF","14","1","GFP",657.729561648257
"1062","3","BDNF","14","11","GFP",466.116838094159
"1063","3","BDNF","14","14","GFP",309.025012206877
"1064","3","BDNF","14","2","GFP",742.13559876683
"1065","3","BDNF","14","3","GFP",195.372653627043
"1066","3","BDNF","14","6","GFP",515.229341363844
"1067","3","BDNF","14","7","GFP",343.739725748036
"1073","3","BDNF","14","5","GFP",642.428443289691
"1080","3","BDNF","15","10","MKO2",557.389988214788
"1081","3","BDNF","15","14","MKO2",387.1792009933
"1082","3","BDNF","15","4","MKO2",622.683996479761
"1083","3","BDNF","15","5","MKO2",484.98092231497
"1084","3","BDNF","15","6","MKO2",395.925610954901
"1075","3","BDNF","15","1","GFP",283.789209866344
"1076","3","BDNF","15","12","GFP",347.325645290921
"1077","3","BDNF","15","5","GFP",167.472762846465
"1078","3","BDNF","15","6","GFP",1109.51491446643
"1079","3","BDNF","15","9","GFP",610.214625500649
"1193","3","EFT508","14","1","MKO2",232.617576154634
"1194","3","EFT508","14","10","MKO2",438.424759212569
"1195","3","EFT508","14","11","MKO2",197.73201641278
"1196","3","EFT508","14","12","MKO2",542.147470405714
"1197","3","EFT508","14","5","MKO2",101.650900768807
"1198","3","EFT508","14","7","MKO2",281.611515471152
"1199","3","EFT508","14","7b","MKO2",246.636704350008
"1200","3","EFT508","14","8","MKO2",430.217029156132
"1201","3","EFT508","14","9","MKO2",242.865946269065
"1202","3","EFT508","14","1","GFP",203.725088760411
"1203","3","EFT508","14","10","GFP",741.670857304504
"1204","3","EFT508","14","11","GFP",156.099232707106
"1205","3","EFT508","14","12","GFP",196.770049464134
"1206","3","EFT508","14","2","GFP",400.533421013959
"1207","3","EFT508","14","7","GFP",137.978482037397
"1242","3","EFT508","14","9","GFP",812.502181989317
"1208","3","EFT508","15","1","MKO2",573.848748932235
"1209","3","EFT508","15","10","MKO2",295.470625473829
"1210","3","EFT508","15","3","MKO2",213.382496901466
"1211","3","EFT508","15","4","MKO2",501.522592995981
"1212","3","EFT508","15","6","MKO2",178.095305952811
"1213","3","EFT508","15","7","MKO2",150.986532486714
"1214","3","EFT508","15","8","MKO2",158.466252050726
"1215","3","EFT508","15","9","MKO2",311.050339149107
"1216","3","EFT508","15","10","GFP",540.141941687017
"1217","3","EFT508","15","3","GFP",372.929279854006
"1218","3","EFT508","15","4","GFP",841.98112959151
"1219","3","EFT508","15","8","GFP",64.6660758211996
"1220","3","EFT508","15","9","GFP",495.922181639617
"1243","3","EFT508","15","2","GFP",538.01337493755
"1221","3","EFT508","16","1","MKO2",437.332086645106
"1222","3","EFT508","16","3","MKO2",195.866707663247
"1223","3","EFT508","16","5","MKO2",176.550033588672
"1224","3","EFT508","16","7","MKO2",300.958815777256
"1225","3","EFT508","16","9","MKO2",323.122563773541
"1226","3","EFT508","16","1","GFP",1130.33538391872
"1227","3","EFT508","16","10","GFP",143.020415444381
"1228","3","EFT508","16","2","GFP",498.315342107
"1229","3","EFT508","16","3","GFP",382.739049629875
"1230","3","EFT508","16","5","GFP",507.500352227848
"1231","3","EFT508","16","6","GFP",576.227909941504
"1232","3","EFT508","16","8","GFP",271.82471536893
"1233","3","EFT508","16","9","GFP",300.861907840085
"1244","3","EFT508","16","7","GFP",300.063136686044
"1234","3","EFT508","18","12","MKO2",284.84042237613
"1235","3","EFT508","18","2","MKO2",546.179639724292
"1236","3","EFT508","18","4","MKO2",507.504837335614
"1237","3","EFT508","18","7","MKO2",778.006095130979
"1238","3","EFT508","18","9","MKO2",780.176127150137
"1246","3","EFT508","18","5","MKO2",217.993490996998
"1239","3","EFT508","18","3","GFP",392.666069701261
"1240","3","EFT508","18","7","GFP",531.600175787073
"1241","3","EFT508","18","9","GFP",537.593248134704
"1245","3","EFT508","18","6","GFP",923.318296927358
