"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement","Normalized"
"84","1","DMSO-(WT)","5","5","R841X-Correction",299.806210550909,1.05559524168575
"85","1","DMSO-(WT)","5","8","R841X-Correction",91.1469200508219,0.320921487660848
"26","1","DMSO","6","11","R841X-Mutant",681.66805981111,2.40010224946151
"27","1","DMSO","6","2","R841X-Mutant",445.56913388039,1.56881559158467
"28","1","DMSO","6","6","R841X-Mutant",1384.92104977652,4.87620342343204
"94","1","DMSO","6","1","R841X-Mutant",488.707054782661,1.72070098434214
"95","1","DMSO","6","10","R841X-Mutant",772.964161723992,2.72154899529978
"96","1","DMSO","6","4","R841X-Mutant",459.257402492941,1.61701096147969
"97","1","DMSO","6","5","R841X-Mutant",632.586182769767,2.22728863174944
"98","1","DMSO","6","8","R841X-Mutant",756.921035762176,2.66506234882258
"29","1","DMSO-(WT)","6","1","R841X-Correction",693.903467624382,2.44318220515702
"30","1","DMSO-(WT)","6","3","R841X-Correction",323.04414040225,1.13741425448281
"31","1","DMSO-(WT)","6","7","R841X-Correction",469.884424724985,1.6544279118518
"92","1","DMSO-(WT)","6","2","R841X-Correction",146.000055770617,0.514055275486522
"93","1","DMSO-(WT)","6","6","R841X-Correction",206.021343400761,0.725385739608022
"32","1","DMSO","7","13","R841X-Mutant",591.975298367361,2.08430074548432
"33","1","DMSO","7","14","R841X-Mutant",79.5024666426559,0.279922238222004
"102","1","DMSO","7","15","R841X-Mutant",404.504346162485,1.42422954569789
"103","1","DMSO","7","16","R841X-Mutant",119.322225538259,0.420124630754279
"104","1","DMSO","7","7","R841X-Mutant",429.409290438368,1.51191799159019
"105","1","DMSO","7","8","R841X-Mutant",623.193363642173,2.19421721818905
"106","1","DMSO","7","9","R841X-Mutant",237.351617752164,0.835697292078126
"34","1","DMSO-(WT)","7","2","R841X-Correction",96.5643436519081,0.339995830934106
"99","1","DMSO-(WT)","7","4","R841X-Correction",380.07496746922,1.33821553064942
"100","1","DMSO-(WT)","7","8","R841X-Correction",143.391423359413,0.504870475893764
"101","1","DMSO-(WT)","7","9","R841X-Correction",251.638502334121,0.886000344024632
"35","1","DMSO-(WT)","8","14","R841X-Correction",181.554999714508,0.639241573584245
"107","1","DMSO-(WT)","8","10","R841X-Correction",412.273471937813,1.45158405641808
"108","1","DMSO-(WT)","8","11","R841X-Correction",230.336641462471,0.810998085286076
"109","1","DMSO-(WT)","8","13","R841X-Correction",415.837728092125,1.46413353572915
"110","1","DMSO-(WT)","8","2","R841X-Correction",35.0194375287441,0.123300820066156
"111","1","DMSO-(WT)","8","6","R841X-Correction",228.17426595686,0.803384522877658
"266","1","IGF1","4","5","R841X-Mutant",835.717148789486,2.94249756880058
"267","1","IGF1","4","7","R841X-Mutant",1013.93867890719,3.57000224527978
"268","1","IGF1","4","8","R841X-Mutant",729.815433190485,2.56962554968115
"269","1","IGF1","4","4","R841X-Mutant",670.863846362446,2.36206142206967
"262","1","IGF1","4","1","R841X-Correction",321.131041096676,1.13067837492873
"263","1","IGF1","4","4a","R841X-Correction",314.836416800483,1.10851547362308
"264","1","IGF1","4","4b","R841X-Correction",712.322613267283,2.50803463920379
"265","1","IGF1","4","5","R841X-Correction",281.091326074022,0.989701533325945
"274","1","IGF1","6","1","R841X-Mutant",1476.23117249299,5.19769953547099
"275","1","IGF1","6","12","R841X-Mutant",1058.19858044387,3.72583804792625
"276","1","IGF1","6","19","R841X-Mutant",760.587229423228,2.67797074246991
"277","1","IGF1","6","2","R841X-Mutant",426.15555600057,1.50046183601577
"278","1","IGF1","6","30","R841X-Mutant",738.858909869923,2.60146695461258
"270","1","IGF1","6","11","R841X-Correction",459.238917926681,1.61694587870454
"271","1","IGF1","6","14","R841X-Correction",766.733977189342,2.6996129815744
