"","Treatment","DMSO_WT","Treatment_Mean","FC","p.val","FCR"
"1","DMSO-(WT)",1.53867053497676,1.53867053497676,1,NA,1
"2","DMSO",1.19390485389264,1.53867053497676,1.28877148791215,0.0013845,1.29
"3","IGF1",1.19390485389264,1.91437900906988,1.60346027811863,5.9394e-08,1.6
"4","RAPA",1.19390485389264,1.65784560971992,1.38859106260824,1.4913e-06,1.39
"5","DHPG",1.19390485389264,1.2576077387935,1.05335675174882,0.6274,1.05
"6","TG003",1.19390485389264,1.78573257494722,1.49570760946735,1.0411e-07,1.5
"7","BDNF",1.19390485389264,1.79246890335973,1.50134987517265,1.9164e-08,1.5
"8","EFT508",1.19390485389264,1.51048103701512,1.26516031163647,0.00046578,1.27
