"NAME"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"A1BG"	195.031831737501	0.254854864816062	0.277164848455236	0.920781548656323	0.357164490150378	0.579962744199963
"A1CF"	5.67092113005807	-0.0875802837347615	0.509561655116538	-0.170157222599976	0.86488649247113	0.937166628491347
"A2M"	8748.83177961931	0.435822303326536	0.508701647050459	0.889686613985055	0.373634183666843	0.596922646816073
"A2ML1"	37.9700064037176	-0.148594831880647	0.42626202048277	-0.344985977964351	0.730104912324214	0.862811640157506
"A3GALT2"	18.3229386580875	0.0187297219980252	0.446226966571336	0.041791231928777	0.966665124815258	0.985362788162571
"A4GALT"	4.87926732973674	-1.01263744386946	0.458036445898422	-2.09096119609692	0.0365315425788604	0.13446120645224
"A4GNT"	11.109126530079	-1.44723437963174	0.458075263531368	-2.95577235357417	0.00311887197149618	0.0232564474032752
"AAAS"	2352.68919586074	-0.384488427592235	0.104619626628458	-3.6749784191882	0.000237869520198741	0.00334283714366253
"AACS"	943.681099504186	0.359659640037284	0.128879063735927	2.79110222242521	0.00525288796092689	0.0338467207181286
"AADAC"	0.781162755862184	-0.348315987087149	0.306831902257012	-1.02444978508717	0.305622877260021	NA
"AADACL2"	0.834418349784419	-0.332460688941327	0.344775038832569	-1.02575518861692	0.305006993289134	NA
"AADAT"	1282.72094259398	-0.0154567818809355	0.173655661498934	-0.0890109021550756	0.929073245847024	0.968568556072975
"AAED1"	148.734833826884	-0.20849612328253	0.339860137476238	-0.612241453714252	0.540378018672249	0.734635799118548
"AAGAB"	1883.94195494729	0.461944169150832	0.173061684383144	2.66968796535851	0.00759217654145444	0.0445351452087243
"AAK1"	3682.44238344144	0.722486427366634	0.263972326109092	2.7385798040652	0.00617051826487442	0.03834010628889
"AAMDC"	153.827816377882	0.148478517979558	0.250809795283359	0.592286208428563	0.553658949616485	0.745840813475026
"AAMP"	2512.19642111214	0.0690884604387629	0.0712924370665149	0.969091130783764	0.332499722502334	0.556026882588107
"AANAT"	9.14820431913401	-0.16920148863573	0.478640748425352	-0.355671291181775	0.722086747266608	0.858138358460909
"AAR2"	1180.28911245454	0.103255510201176	0.13779541008675	0.749358811454289	0.453640969339855	0.669533656919636
"AARD"	3.83516791958016	-0.750079999009568	0.508339899048719	-1.45426510952234	0.145872819750652	0.333766789831093
"AARS"	5752.71193819606	-0.036134010676139	0.159722781750279	-0.226227846663025	0.821024213465571	0.913984468934552
"AARS2"	998.698454887376	-0.158954042546228	0.153917812793964	-1.03268079020111	0.301753306172713	0.525964340463504
"AARSD1"	0.862011272181257	0.0553347219330876	0.339167166964491	0.216187280782327	0.828841767595585	NA
"AASDH"	844.547391623315	-0.11132749526265	0.114950980590495	-0.968469905929077	0.332809741600086	0.556192960584801
"AASDHPPT"	3364.29230754282	0.536325646170711	0.132660486557142	4.04310932747794	5.27470103235216e-05	0.0010237832714509
"AASS"	1930.566461183	-1.06826400346093	0.199046555006078	-5.36604436900967	8.04821514565942e-08	5.40117082529466e-06
"AATF"	1357.35658816102	-0.0107141261592725	0.11292146683345	-0.0948832046793681	0.924407597050405	0.966451087338063
"AATK"	528.39853094841	0.567545272602761	0.337416606803017	1.68155982219971	0.0926542270593097	0.249737516706152
"AATK-AS1"	8.18841818338129	-0.0778909015357877	0.47006182223644	-0.167318487567143	0.867119458213589	0.938204534716958
"ABAT"	10752.821128319	0.0517138829351401	0.244661624264701	0.211323141357185	0.832635126459556	0.919486482559368
"ABCA1"	8857.48394056256	-0.254561902721792	0.288174376449167	-0.880905026447775	0.378369226686492	0.601667852636612
"ABCA10"	48.4611112365246	-0.874155597741807	0.446456268018071	-1.95897612305326	0.0501155831066508	0.166331585968907
"ABCA12"	143.805217048551	1.45979801971831	0.376844403430612	3.93214084152831	8.41927121672131e-05	0.00148655983868932
"ABCA13"	119.719602201591	0.700982099629626	0.508197559406116	1.51500496765762	0.129771146094148	0.310049089129449
"ABCA2"	4441.98337691616	-0.0725945430782013	0.121400004066801	-0.597960090716286	0.549866562792461	0.742562896640147
"ABCA3"	4812.23679237199	0.400444199483514	0.118942635716593	3.36670913322202	0.00076070877590156	0.00812962590602491
"ABCA4"	15.7469305618094	-0.255625086227644	0.445123457176358	-0.566469200539578	0.571074864404812	0.759317028164216
"ABCA5"	1267.84855658234	-0.175619221037467	0.31268123273591	-0.561274798688101	0.574610218784741	0.761626633618941
"ABCA6"	17.4532292298343	-0.61766244699383	0.47851456092316	-1.27144963731653	0.203568733426546	0.414097344003801
"ABCA7"	1043.04813172604	0.126790949662543	0.2585805657239	0.490445063640663	0.62381899514026	0.797267496109014
"ABCA8"	972.045478562029	-0.582653141276902	0.322623922449312	-1.80602497517192	0.0709144384993916	0.209933248028666
"ABCA9"	53.9328675789955	0.481368606289085	0.50763206132478	0.877437078206018	0.3802492812475	0.603530597993507
"ABCB1"	36.7150189008933	-1.30333672393278	0.282445665204802	-4.57227423708154	4.8245892715564e-06	0.000150806986963367
"ABCB10"	1033.00470982715	0.00327233632526276	0.0983147621165633	0.0333015870315917	0.973434088194979	0.988638226207105
"ABCB11"	71.2109319480932	-0.636392063038771	0.382749736162456	-1.62355600660422	0.104470601102211	0.269129046886275
"ABCB4"	32.6711852624898	-1.02116127003492	0.500409332408383	-1.87086810492416	0.0613633648702687	0.190600700689413
"ABCB5"	2.51353509891876	-0.0292270953216193	0.508146683554458	-0.0644498922492673	0.948612004301008	NA
"ABCB6"	1362.10878634863	-0.316386969560923	0.127153382855173	-2.48801187531526	0.0128459443541443	0.0652305439823461
