"exp_ID" "Lawn" "individual" "lineID" "ind_type" "SHANK2_gtype" "ind_desc" "Color" "Family" "wellID" "sEPSC_Ampl" "sEPSC_Freq" "Setup" "growth_condition" "Line" "FamilyType" "ind_desc_paper" "line_desc_paper" "comparison_var" "comparison_label"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 3 0.759558292691574 0.167670498347387 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 3 0.991205046150487 1.17369343813056 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 3 1.35238427723134 1.17369343813056 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 3 1.00973085816735 1.17369343813056 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 3 0.889238976809648 0.3353409715442 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 3 0.991205046150487 17.4377309478581 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 3 1.3153326531976 0.838352441435786 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 3 0.981868036893986 45.7740437601343 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 3 0.954153422116752 6.70681960693801 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 4 0.887666377842106 2.31482523955947 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 4 1.1977567294679 0.469674684610018 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 4 0.922136181268717 1.17418671404116 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 4 1.08579880793827 0.402578302532081 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 4 0.939371082982023 1.94579513058247 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 4 1.29261762849794 26.0669450889522 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 4 0.844510183951988 1.34192767678435 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 4 1.1977567294679 11.2386442773432 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 4 1.16328692604129 3.01933726899061 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 4 1.1805218277546 3.25417461381173 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 5 1.01884288457325 0.926576405145127 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 5 0.881097911132817 0.247087044460622 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 5 1.05555529753711 1.79138104685866 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 5 0.991235150024419 4.38579498126501 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 5 1.06465997595215 0.555945843087076 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 5 1.00959135650635 0.123543517597429 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 5 1.37671548614503 29.7122167280757 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 5 0.890349439199712 1.5442940116638 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 5 1.58788528551319 23.9056712527443 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 5 1.10137238891602 16.2459729671226 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 6 0.965558650630378 5.60658471132045 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 6 1.05253964755226 0.431275747455926 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 6 1.13938147487906 0.149508927504074 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 6 0.8785776537085 1.12131694226409 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "mKate2" "SHANK2 R841X" 6 0.982954850014753 2.466897272981 "EXP" "AA" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 6 0.982954850014753 3.47608252101868 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
