"exp_ID" "wellID" "Lawn" "individual" "lineID" "ind_type" "SHANK2_gtype" "ind_desc" "Color" "Family" "imagebatchID" "imageID" "Syn_Number" "Dend_Length" "Setup" "Line" "FamilyType" "ind_desc_paper" "line_desc_paper" "comparison_var" "comparison_label" "growth_condition"
"1" 2 "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "2" 2.98559179744329 1.81283292075788 "EXP" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 2 "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 2 "1" 3.91553022615513 3.80959533203419 "EXP" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 2 "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 2 "2" 1.85987685742369 1.28671764778742 "EXP" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 3 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 1 "2" 1.76826424053313 1.87836433083037 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 3 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 1 "3" 1.6751977015577 0.874803254481718 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 3 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 2 "1" 0.83759885077885 1.00904732111348 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 3 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 2 "2" 0.465332694877139 0.709649424865481 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 3 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 2 "3" 0.465332694877139 0.770229126919962 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 3 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 2 "4" 1.86133077950856 1.10340373731703 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 3 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "1" 1.39599808463142 2.76568327224756 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
